TripCode,Latitude,Longitude,SampleTime_Local,StationName,StationCode,SST,chl_gsm,chl_oc3,GSLA,WaterDepth_m
SOTS_RAS_PULSE_10_2013_20131007,-46.9378,142.28465,2013-10-07T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.17732008,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130808,-46.9378,142.28465,2013-08-08T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.19037544,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210802,-46.9858333,142.2836111,2021-08-02T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.19736946,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20120502,-46.92955,142.2146667,2012-05-02T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.22672736,NA,NA,NA,NA
MAI20110812,-42.59667,148.23333,2011-08-12T10:55:00Z,Maria Island,MAI,11.22803187,0.846719341,0.47444201,0.037658996,-88
SOTS_RAS_SOFS10_2021_20220407,-46.9858333,142.2836111,2022-04-07T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.2595356,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20230602,-47.16952,141.25615,2023-06-02T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.27605538,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20110920,-46.92955,142.2146667,2011-09-20T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.29170009,NA,NA,NA,NA
SOTS_RAS_SOFS12_RAS14_2023_20231027,-47.16952,141.25615,2023-10-27T16:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.35358223,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20220423,-46.9858333,142.2836111,2022-04-23T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.37986353,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130823,-46.9378,142.28465,2013-08-23T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.40185207,NA,NA,NA,NA
SOTS_RAS_PULSE_8_2011_20111020,-46.92955,142.2146667,2011-10-20T02:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.41499404,0.38238132,0.345667511,NA,NA
SOTS_RAS_SOFS10_2021_20220202,-46.9858333,142.2836111,2022-02-02T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.47506431,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150713,-46.9405,142.3261,2015-07-13T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.51936856,NA,NA,NA,NA
SOTS_RAS_PULSE_10_2013_20130907,-46.9378,142.28465,2013-09-07T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.57421212,NA,NA,NA,NA
SOTS_RAS_PULSE_11_2015_20150330,-46.9405,142.3261,2015-03-30T04:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.61260812,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20210514,-46.9858333,142.2836111,2021-05-14T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.61379766,NA,NA,NA,NA
SOTS_RAS_SOFS10_2021_20211106,-46.9858333,142.2836111,2021-11-06T17:00:00Z,Southern Ocean Timeseries Mooring,SOTS,11.6190121,NA,NA,NA,NA
