TAXON_NAME,STARTDATE,PARENT_NAME,TRAINING,COMMENTS
Sapphirina stellata j,2008-09-29,,,
Ditrichocorycaeus lubbocki f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Corycaeus vitreus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Oithona longispina f,2011-07-08,Oithona Grp3 (pointy head) f,External training Dave McKinnon,Identified as larger Oithona group size 0.9<>1.1 mm
Candacia simplex f,2008-09-29,,,
Serratosagitta tasmanica,2010-09-23,Chaetognatha,External training Mark Gibbons,
Bassia bassensis,2010-09-14,Medusa,External training Mark Gibbons,
Calocalanus contractus f,2008-09-29,Calocalanus spp. f,,Not routinely counted; normally counted as Calocalanus spp.
Physonectae,2010-09-14,Siphonophore,External training Mark Gibbons,
Liriope tetraphylla,2011-07-01,Medusa,External training Mark Gibbons,Not routinely identified
Oikopleura dioica,2011-07-01,Oikopleuridae,External training Mark Gibbons,Not routinely identified
Lensia subtiloides,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Ceratocymba spp.,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Tortanus barbatus j,2008-09-29,,,
Triconia elongata f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Triconia redacta f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Triconia umerus f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Aidanosagitta neglecta,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Aidanosagitta regularis,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Trochophore larvae,2008-09-29,,,
Unid invert larvae,2008-09-29,,,
Nauplii zooplankton,2008-09-29,,,
Clytemnestra spp. f,2008-09-29,,,
Ditrichocorycaeus asiaticus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus catus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus subtilis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Coelenterata larvae,2008-09-29,Medusa,,Not routinely identified
Eucalanus spp.,2008-09-29,,,
Eucalanus spp. f,2008-09-29,,,
Eucalanus spp. m,2008-09-29,,,
Copilia quadrata m,2008-09-29,,,
Rhincalanus spp. f,2008-09-29,,,
Rhincalanus spp. m,2008-09-29,,,
Candacia truncata m,2008-09-29,,,
Clausocalanus brevipes m,2008-09-29,,Internal training Frost & Fleminger,Clausocalanus males not routinely speciated
Agetus typicus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus andrewsi f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus subtilis m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Onychocorycaeus ovalis m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Euchaeta concinna m,2008-09-29,,,
Acrocalanus spp.,2008-09-29,,,
Onychocorycaeus pacificus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Lucifer typus,2010-06-17,Lucifer spp.,Internal training,Not routinely identified
Lucifer typus m,2010-06-17,Lucifer spp.,Internal training,Not routinely identified
Labidocera kroyeri f,2008-09-29,,,
Lucifer spp. f,2010-06-18,Lucifer spp.,Internal training,
Heterorhabdus papilliger f,2008-09-29,,,
Pleuromamma xiphias f,2008-09-29,,,
Pterotracheoidea,2008-09-29,,,
Onychocorycaeus pumilus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Subeucalanus spp. m,2008-09-29,,,
Calanus australis CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Subeucalanus spp. f,2008-09-29,,,
Pareucalanus langae f,2008-09-29,,,
Urochordate,2008-09-29,,,
Oncaea venusta medium f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Undinula vulgaris CII,2008-09-29,,,Not routinely counted; normally counted as Calanid CII
Oncaea mediterranea slender f,2010-09-23,Oncaea mediterranea complex f,External training Ruth Bottger Schnack,
Evadne nordmanni m,2010-03-24,Evadne nordmanni,Internal training,
Triconia conifera complex f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Subeucalanus subtenuis f,2008-09-29,,,
Oithona Grp6 (square head) f,2010-10-20,Oithona spp. f,,Includes Diothona oculata D. rigida Oithona brevicornis O. decipiens O. fallax O. nana O. similis (WA use only)
Centropages australiensis,2008-09-29,,,
Abylidae,2010-09-14,Siphonophore,Taxonomic workshop,Not routinely identified
Oncaea mediterranea broad f,2010-09-23,Oncaea mediterranea complex f,External training Ruth Bottger Schnack,
Neocalanus gracilis f,2008-09-29,,,
Cladoceran f,2010-03-24,Cladoceran,Internal training,
Ophiurida larvae,2011-02-24,Echinoderm larvae,,Not routinely identified
Podon intermedius f gravid,2010-03-24,Podon spp.,Internal training,
Calanoides spp. f,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Asteroidea larvae,2008-09-29,,,
Tisbidae spp. f,2008-09-29,,,
Pontella spp. j,2008-09-29,,,
Heterorhabdus spp. f,2008-09-29,,,
Centropages calaninus f,2008-09-29,,,
Oithona setigera f,2011-07-08,Oithona Grp3 (pointy head) f,External training Dave McKinnon,Identified as largest of the larger Oithona
Eucalanus hyalinus f,2008-09-29,,,
Fritillaria pellucida,2011-07-01,Fritillariidae,External training Mark Gibbons,
Oithona decipiens/similis f,2011-07-08,Oithona Grp1 (flat head) f,External training Dave McKinnon,Used in NRS/AusCPR as splitting them requires disection
Oithona nana f,2011-07-08,Oithona Grp1 (flat head) f,External training Dave McKinnon,
Doliolum nationalis,2010-01-14,Doliolum spp.,External training Mark Gibbons,
Tortanus barbatus m,2008-09-29,,,
Poecilostomatoida / Cyclopoid j,2008-09-29,,,
Corycaeus crassiusculus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Harpacticoid m,2008-09-29,,,
Acartia spp. f,2008-09-29,,,
Acartia spp. m,2008-09-29,,,
Candacia discaudata f,2008-09-29,,,
Candacia discaudata m,2008-09-29,,,
Rhincalanus rostrifrons m,2008-09-29,,,
Candacia spp.,2008-09-29,,,
Nannocalanus minor,2008-09-29,,,
Calanidae,2008-09-29,,,
Lucifer spp. mysis,2010-06-17,Lucifer spp.,Internal training,
Lucifer spp. protozoea,2010-06-17,Lucifer spp.,Internal training,
Microsetella rosea,2008-09-29,,,
Sagitta bipunctata,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Euchaeta indica f,2008-09-29,,,
Microsetella spp. j,2008-09-29,,,
Acartia simplex m,2008-09-29,,,
Acartia tonsa m,2008-09-29,,,
Euchaeta rimana m,2008-09-29,,,
Macrosetella gracilis,2008-09-29,,,
Oncaea venusta venella no hump f,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,
Euchaeta marinella m,2008-09-29,,,
Centropages furcatus j,2008-09-29,,,
Narcomedusae,2010-01-11,Medusa,Taxonomic workshop,
Temora discaudata j,2008-09-29,,,
Corycaeus crassiusculus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Clausocalanus farrani f (<1.00mm),2009-10-12,Clausocalanus spp. f,Internal training Frost & Fleminger,
Copilia spp. j,2008-09-29,,,
Phaenna spinifera j,2008-09-29,,,
Onychocorycaeus ovalis f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Ditrichocorycaeus asiaticus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Calanopia elliptica m,2008-09-29,,,
Oithona spp. f,2008-09-29,,,
Triconia dentipes complex f,2010-09-23,Oncaea spp. f,External training Ruth Bottger Schnack,
Clausocalanus farrani/jobei f (1.00mm>x<1.2mm),2009-10-12,Clausocalanus spp. f,Internal training,Cant separate the two species routinely so this is used when sizes overlap
Paroithona spp. f,2011-07-08,Oithona Grp4 (round head) f,External training Dave McKinnon,
Cladoceran j,2008-09-29,,,
Aetideus armatus f,2008-09-29,,,
Oithona spp. small m,2008-09-29,,,Used for all Oithona males greater than 0.8 mm in size; Oithonidae males not routinely speciated
Pleuromamma spp. f,2008-09-29,,,
Pleuromamma spp. m,2008-09-29,,,
Copilia spp. f,2008-09-29,,,
Temora spp. f,2008-09-29,,,
Temora spp. m,2008-09-29,,,
Ctenocalanus vanus,2008-09-29,,,
Clytemnestra spp.,2008-09-29,,,
Lucicutia spp.,2008-09-29,,,
Farranula rostrata f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Sapphirina ovatolanceolata / gemma m,2008-09-29,,,
Sapphirina angusta m,2008-09-29,,,
Pontella spp.,2008-09-29,,,
Monocorycaeus robustus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Agetus flaccus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Pleuromamma gracilis f,2008-09-29,,,
Paracalanus spp.,2008-09-29,,,
Subeucalanus pileatus f,2008-09-29,,,
Undinula vulgaris CIV,2008-09-29,,,Not routinely counted; normally counted as Calanid CIV
Neocalanus spp. j,2008-09-29,,,
Euchirella rostrata f,2008-09-29,,,
Neocalanus tonsus f,2008-09-29,,,
Euchaeta spp. m,2008-09-29,,,
Harpacticoid,2008-09-29,,,
Oithona spp.,2008-09-29,,,
Sapphirina spp.,2008-09-29,,,
Oncaea spp.,2008-09-29,,,May include Triconia spp.
Poecilostomatoida / Cyclopoid,2008-09-29,,,
Euchaeta spp.,2008-09-29,,,
Calanidae f,2008-09-29,,,
Calanidae m,2008-09-29,,,
Oncaea spp. f,2008-09-29,,,May include Triconia spp.
Oncaea spp. m,2008-09-29,,,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Paracalanus spp. m,2008-09-29,,,
Pontellidae j,2008-09-29,,,
Penilia avirostris m,2010-03-24,Penilia avirostris,Internal training,
Oithona Grp5 (orange furcae) f,2010-10-20,Oithona spp. f,,Includes Diothona rigida (WA use only)
Pseudevadne tergestina f gravid,2010-03-24,Pseudevadne tergestina,Internal training,
Euchaeta rimana f,2008-09-29,,,
Onychocorycaeus giesbrechti m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Acartia australis f,2008-09-29,,,
Ctenophore,2008-09-29,,,
Siphonophore diphyidae,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Calanus australis,2008-09-29,,,
Cladoceran f gravid,2010-03-24,Cladoceran,Internal training,
Podon intermedius f,2010-03-24,Podon spp.,Internal training,
Metridia gerlachei f,2008-09-29,,,
Neocalanus gracilis m,2008-09-29,,,
Evadne nordmanni f gravid,2010-03-24,Evadne nordmanni,Internal training,
Squillidae,2008-09-29,,,
Cladoceran,2008-09-29,,,
Candacia ethiopica,2008-09-29,,,
Mollusc,2008-09-29,,,
Podon intermedius m,2010-03-24,Podon spp.,Internal training,
Centropages gracilis f,2008-09-29,,,
Copepod j,2008-09-29,,,
Parvocalanus crassirostris i,2010-09-16,Parvocalanus spp. j,Internal training,
Calocalanus contractus m,2008-09-29,Calocalanus spp. f,,Not routinely counted; normally counted as Calocalanus spp.
Pleuromamma borealis,2008-09-29,,,
Heterorhabdus spp.,2008-09-29,,,
Heterorhabdus austrinus,2008-09-29,,,
Oncaea curvata,2008-09-29,,,
Rhincalanus gigas,2008-09-29,,,
Pleuromamma robusta,2008-09-29,,,
Calocalanus spp.,2008-09-29,,,
Ctenocalanus citer,2008-09-29,,,
Triconia antarctica,2008-09-29,,,
Paralabidocera antarctica,2008-09-29,,,
Calanus simillimus,2008-09-29,,,
Vibilia armata,2008-09-29,Hyperiid amphipod,,Not routinely identified
Thalia spp.,2008-09-29,,,
Thysanoessa gregaria,2008-09-29,,,Speciated routinely in SO samples
Calanus simillimus CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Thysanoessa vicina/macrura calyptopis,2008-09-29,,,Speciated routinely in SO samples
Vibilia spp.,2008-09-29,Hyperiid amphipod,,Not routinely identified
Subeucalanus longiceps,2008-09-29,,,
Euphausia crystallorophias,2008-09-29,,,Speciated routinely in SO samples
Euphausia hanseni calyptopis,2008-09-29,,,Speciated routinely in SO samples
Thysanoessa vicina/macrura,2008-09-29,,,Speciated routinely in SO samples
Pleuromamma CIV,2008-09-29,,,
Metridia longa,2008-09-29,,,
Large copepodite CIV,2008-09-29,,,
Calanus spp.,2008-09-29,,,
Large copepodite CIII,2008-09-29,,,
Euphausia lucens,2008-09-29,,,Speciated routinely in SO samples
Euchirella spp.,2008-09-29,,,
Euphausia spinifera furcilia,2008-09-29,,,Speciated routinely in SO samples
Branchiopoda,2008-09-29,,,
Hyperiella spp.,2008-09-29,Hyperiid amphipod,,Not routinely identified
Euphausia superba calyptopis,2008-09-29,,,Speciated routinely in SO samples
Euphausia recurva,2008-09-29,,,Speciated routinely in SO samples
Hyperiella antarctica,2008-09-29,Hyperiid amphipod,,Not routinely identified
Neocalanus tonsus CIV,2008-09-29,Calanid CIV,,Not routinely counted; normally counted as Calanid CIV
Solidosagitta marri,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Large copepodite CII,2008-09-29,,,
Alciopidae,2008-09-29,,,
Hyperiella dilatata,2008-09-29,Hyperiid amphipod,,Not routinely identified
Spongiobranchaea australis,2008-09-29,Gastropod,,Not routinely identified
Scolecithricella spp.,2008-09-29,,,
Cyllopus lucasii,2008-09-29,Amphipod,,Not routinely identified
Chelophyes spp.,2011-07-01,Sipunculid worm larvae,External training Mark Gibbons,Not routinely identified
Limacina helicina,2008-09-29,Limacina,,Not routinely identified
Euphausia spinifera calyptopis,2008-09-29,,,Speciated routinely in SO samples
Euphausia similis var. armata,2008-09-29,,,Speciated routinely in SO samples
Sagittidae,2010-09-23,Chaetognatha,External training Mark Gibbons,
Paraeuchaeta cf. barbata,2008-09-29,,,
Limacina retroversa,2008-09-29,Limacina,,Not routinely identified
Primno macropa,2008-09-29,Hyperiid amphipod,,Not routinely identified
Small copepodite CI-CIII,2008-09-29,,,
Euphausia crystallorophias calyptopis,2008-09-29,,,Speciated routinely in SO samples
Radiozoa,2008-09-29,,,
Large copepodite CI,2008-09-29,,,
Tomopteris carpenteri,2008-09-29,,,
Scina spp.,2008-09-29,Hyperiid amphipod,,Not routinely identified
Euphausia hanseni furcilia,2008-09-29,,,Speciated routinely in SO samples
Pseudosagitta gazellae,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Euphausia triacantha,2008-09-29,,,Speciated routinely in SO samples
Eucalanus spp. CIV,2008-09-29,,,
Iospilidae,2008-09-29,,,
Rhincalanus gigas CIV-CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CIV-CV
Large copepodite CV,2008-09-29,,,
Themisto gaudichaudii,2008-09-29,Hyperiid amphipod,,Not routinely identified
Euphausia triacantha calyptopis,2008-09-29,,,Speciated routinely in SO samples
Salpa thompsoni sol,2008-09-29,,,
Euphausia frigida,2008-09-29,,,Speciated routinely in SO samples
Nyctiphanes australis furcilia,2008-09-29,,,Speciated routinely in SO samples
Rhincalanus gigas CIII,2008-09-29,,,
Hyperia spp.,2008-09-29,Hyperiid amphipod,,Not routinely identified
Vanadis longissima,2008-09-29,,,
Fish scales,2008-09-29,,,
Clio pyramidata,2008-09-29,Cavoliniidae,,Not routinely identified
Rhincalanus gigas CIV,2008-09-29,,,
Euphausia longirostris furcilia,2008-09-29,,,Speciated routinely in SO samples
Euphausia superba furcilia,2008-09-29,,,Speciated routinely in SO samples
Nematoscelis megalops,2008-09-29,,,
Thysanoessa vicina/macrura furcilia,2008-09-29,,,Speciated routinely in SO samples
Phronima spp.,2008-09-29,Hyperiid amphipod,,Not routinely identified
Euphausia longirostris calyptopis,2008-09-29,,,Speciated routinely in SO samples
Pleuromamma CIII,2008-09-29,,,
Euphausia vallentini calyptopis,2008-09-29,,,Speciated routinely in SO samples
Siphonophore / nectophore,2008-09-29,,,
Opisthobranchia,2008-09-29,,,
Rhincalanus spp. CI,2008-09-29,,,
Paraeuchaeta biloba,2008-09-29,,,
Clione antarctica,2008-09-29,Cavoliniidae,,Not routinely identified
Pelagobia longicirrata,2008-09-29,,,
Nyctiphanes australis,2008-09-29,,,Speciated routinely in SO samples
Euphausia similis,2008-09-29,,,Speciated routinely in SO samples
Small copepodite CIV,2008-09-29,,,
Euphausia crystallorophias furcilia,2008-09-29,,,Speciated routinely in SO samples
Myctophid,2008-09-29,,,
Euphausia superba,2008-09-29,,,Speciated routinely in SO samples
Euphausia triacantha furcilia,2008-09-29,,,Speciated routinely in SO samples
Euphausia spinifera,2008-09-29,,,Speciated routinely in SO samples
Eucalanidae CII,2008-09-29,,,
Euphausia frigida furcilia,2008-09-29,,,Speciated routinely in SO samples
Pterotracheid,2008-09-29,,,
Serratosagitta bierii,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Dimophyes arctica,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Diphyes chamissonis,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Diphyes dispar,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Chelophyes appendiculata,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Chelophyes contorta,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Oncaea tregoubovi f,2010-09-23,Oncaea media complex f,External training Ruth Bottger Schnack,
Eudoxoides mitra,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Eudoxoides spiralis,2010-09-14,Siphonophore,External training Mark Gibbons,
Oithona similis f,2011-07-08,Oithona Grp1 (flat head) f,External training Dave McKinnon,Used in SO where O. decipens does not occur
Parasagitta spp.,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Zonosagitta pulchra,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Abylopsis spp.,2011-07-01,Siphonophore,External training Mark Gibbons,Not routinely identified
Dolioletta spp.,2011-07-01,Doliolum spp.,External training Mark Gibbons,
Soestia zonaria agg,2011-07-01,Salpidae,External training Mark Gibbons,
Lensia spp.,2010-09-14,Siphonophore,External training Mark Gibbons,Not routinely identified
Hemichordate larvae,2008-09-29,,,
Gladioferens pectinatus f,2008-09-29,,,
Cydippida,2008-09-29,,,
Oikopleura spp.,2011-07-01,Oikopleuridae,External training Mark Gibbons,Not routinely identified
Oncaea venusta typica m,2010-09-23,Oncaea venusta complex f,External training Ruth Bottger Schnack,Oncaeidae males not routinely speciated unless found coupled or assigned to a dominant female count
Paraeuchaeta barbata m,2008-09-29,,,
Heterorhabdus papilliger,2008-09-29,,,
Ditrichocorycaeus minimus f,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Euphausia longirostris,2008-09-29,,,Speciated routinely in SO samples
Calanoid copepods (small),2008-09-29,,,
Metridia spp. j,2008-09-29,,,
Protomyctophum spp.,2008-09-29,Fish larvae,,Not routinely identified
Euphausia frigida calyptopis,2008-09-29,,,Speciated routinely in SO samples
Euphausia vallentini furcilia,2008-09-29,,,Speciated routinely in SO samples
Paraeuchaeta antarctica,2008-09-29,,,
Clio spp.,2008-09-29,Cavoliniidae,,Not routinely identified
Nauplii crustracean,2008-09-29,,,
Euphausia vallentini,2008-09-29,,,Speciated routinely in SO samples
Ctenocalanus spp.,2008-09-29,,,
Salpa thompsoni agg,2008-09-29,,,
Vibilia antarctica,2008-09-29,Hyperiid amphipod,,Not routinely identified
Nyctiphanes australis calyptopis,2008-09-29,,,Speciated routinely in SO samples
Eukrohnia hamata,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Rhincalanus spp. CII,2008-09-29,,,
Large copepodite CI-CIII,2008-09-29,,,
Vanadis antarctica,2008-09-29,,,
Euphausia hanseni,2008-09-29,,,Speciated routinely in SO samples
Centropages aucklandicus,2008-09-29,,,
Oncaea clevei complex f,2008-09-29,,,
Oncaea media f,2010-09-23,Oncaea media complex f,External training Ruth Bottger Schnack,
Oithona brevicornis f,2011-07-08,Oithona Grp1 (flat head) f,External training Dave McKinnon,
Plastic (NRS),2008-09-29,,,
Gladioferens inermis m,2008-09-29,,,
Nauplii calanoid (Rhincalanus?),2008-09-29,Nauplii calanoid,,Not routinely identified
Magelona spp.,2008-09-29,,,
Calocalanus tenuis f,2008-09-29,Calocalanus spp. f,,Not routinely counted; normally counted as Calocalanus spp.
Creseis spp.,2008-09-29,Cavoliniidae,,Not routinely counted; normally counted as Cavonlinnidae
Pontellidae,2008-09-29,,,
Candacia falcifera f,2008-09-29,,,
Candacia maxima f,2008-09-29,,,
Candacia maxima m,2008-09-29,,,
Ctenocalanus citer f,2008-09-29,,,
Ctenocalanus citer m,2008-09-29,,,
Oithona frigida f,2011-07-08,,,
Oithona frigida m,2011-07-08,Oithona spp. small m,,Oithonidae males not routinely speciated
Triconia antarctica f,2008-09-29,,,
Triconia antarctica m,2008-09-29,,,
Oncaea curvata f,2008-09-29,,,
Oncaea curvata m,2008-09-29,,,
Onchocalanus spp. f,2008-09-29,,,
Onchocalanus spp. m,2008-09-29,,,
Canthocalanus pauper CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Nannocalanus minor CV,2008-09-29,,,Not routinely counted; normally counted as Calanid CV
Solmundella bitentaculata,2008-09-29,Medusa,External training Mark Gibbons,Not routinely identified
Gladioferens inermis f,2008-09-29,,,
Oncaea atlantica complex m,2010-09-23,,,
Heterorhabdus lobatus f,2008-09-29,,,
Thysanoessa macrura CIII,2008-09-29,,,Speciated routinely in SO samples
Thysanoessa gregaria furcilia,2008-09-29,,,Speciated routinely in SO samples
Thysanoessa macrura furcilia,2008-09-29,,,Speciated routinely in SO samples
Thysanoessa macrura FI,2008-09-29,,,Speciated routinely in SO samples
Nauplii Rhincalanus gigas,2008-09-29,Nauplii calanoid,,Not routinely identified
Plastic (AusCPR),2013-01-01,,,
Thysanoessa macrura,2008-09-29,,,Speciated routinely in SO samples
Thysanoessa macrura CII,2008-09-29,,,Speciated routinely in SO samples
Oculosetella gracilis,2008-09-29,,,
Centropages elongatus f,2008-09-29,,,
Centropages gracilis m,2008-09-29,,,
Gastropod operculum,2008-09-29,,,
Centropages bradyi j,2008-09-29,,,
Euchaeta acuta m,2008-09-29,,,
Primno spp.,2012-05-08,Hyperiid amphipod,,Not routinely identified
Pareucalanus sewelli f,2008-09-29,,,
Salpidae sol,2013-07-24,Salpidae,Internal training,
Pareucalanus sewelli m,2008-09-29,,,
Paracalanus indicus i,2010-09-16,Paracalanus spp. j,Internal training,
Euchirella spp. j,2008-09-29,,,
Calanopia australica f,2008-09-29,,,
Agetus spp. j,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Lubbockia spp. m,2008-09-29,,,
Calanoides acutus m,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Paraeuchaeta antarctica f,2008-09-29,,,
Paraeuchaeta antarctica m,2008-09-29,,,
Paraeuchaeta exigua f,2008-09-29,,,
Paraeuchaeta exigua m,2008-09-29,,,
Paralabidocera antarctica f,2008-09-29,,,
Paralabidocera antarctica m,2008-09-29,,,
Rhincalanus gigas f,2008-09-29,,,
Rhincalanus gigas m,2008-09-29,,,
Stephos longipes f,2008-09-29,,,
Stephos longipes m,2008-09-29,,,
Pterosagitta draco,2010-09-23,Chaetognatha,External training Mark Gibbons,Not routinely identified
Pleuromamma quadrungulata m,2008-09-29,,,
Paraeuchaeta tumidula f,2008-09-29,,,
Oithona australis f,2011-07-08,Oithona Grp2 (diamond) f,External training Dave McKinnon,
Calanoides macrocarinatus f,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Calanoides macrocarinatus m,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Calanus propinquus f,2008-09-29,,,
Calanus propinquus m,2008-09-29,,,
Calanus simillimus f,2008-09-29,,,
Calanus simillimus m,2008-09-29,,,
Paraeuchaeta biloba f,2008-09-29,,,
Paraeuchaeta biloba m,2008-09-29,,,
Oithona similis m,2011-07-08,Oithona Grp1 (flat head) f,,Used in SO where O. decipens does not occur; Oithonidae males not routinely speciated
Microcalanus pygmaeus m,2008-09-29,,,
Acartia tranteri,2008-09-29,,,
Corycaeus vitreus m,2010-01-12,Corycaeus spp.,Internal training Dahl & Tanaka,
Centropages orsinii,2008-09-29,,,
Euchirella rostromagna m,2008-09-29,,,
Haloptilus oxycephalus f,2008-09-29,,,
Haloptilus oxycephalus m,2008-09-29,,,
Metridia gerlachei m,2008-09-29,,,
Microcalanus pygmaeus f,2008-09-29,,,
Paraeuchaeta barbata f,2008-09-29,,,
Pleuromamma robusta f,2008-09-29,,,
Pleuromamma robusta m,2008-09-29,,,
Scolecithricella minor f,2008-09-29,,,
Scolecithricella minor m,2008-09-29,,,
Oithona tenuis f,2011-07-08,Oithona Grp3 (pointy head) f,External training Dave McKinnon,
Oithona attenuata stocky f,2011-07-08,Oithona Grp2 (diamond) f,External training Dave McKinnon,
Clausocalanus brevipes,2008-09-29,Clausocalanus spp. f,Internal training Frost & Fleminger,
Candacia cheirura,2008-09-29,,,
Acartia danae,2008-09-29,,,
Pleuromamma abdominalis,2008-09-29,,,
Pleuromamma gracilis,2008-09-29,,,
Paraeuchaeta exigua,2008-09-29,,,
Stephos longipes,2008-09-29,,,
Drepanopus spp.,2008-09-29,,,
Metridia lucens,2008-09-29,,,
Centropages bradyi,2008-09-29,,,
Pleuromamma piseki,2008-09-29,,,
Clausocalanus laticeps,2008-09-29,,Internal training Frost & Fleminger,Identified from the SO with sexing
Neocalanus tonsus,2008-09-29,,,
Oithona similis,2011-07-08,Oithona Grp1 (flat head) f,,Used in SO where O. decipens does not occur
Candacia maxima,2008-09-29,,,
Oithona frigida,2011-07-08,,,
Onchocalanus spp.,2008-09-29,,,
Microcalanus pygmaeus,2008-09-29,,,
Clausocalanus spp.,2008-09-29,,Internal training Frost & Fleminger,
Euchirella rostromagna,2008-09-29,,,
Candacia falcifera,2008-09-29,,,
Calanoides macrocarinatus,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Mecynocera clausi,2008-09-29,,,
Metridia spp.,2008-09-29,,,
Paraheterorhabdus farrani,2008-09-29,,,
Metridia gerlachei,2008-09-29,,,
Calanus propinquus,2008-09-29,,,
Haloptilus oxycephalus,2008-09-29,,,
Heterorhabdus lobatus,2008-09-29,,,
Scolecithricella minor,2008-09-29,,,
Calanoides acutus,2008-09-29,,,Australian species currently being reviewed by Janet Bradford-Greive
Mesocalanus j,2008-09-29,,,
Heterorhabdus lobatus m,2008-09-29,,,
Acrocalanus spp. j,2008-09-29,Calanoid j,,Not counted routinely; normally counted as calanoid j
Branchiostoma spp.,2008-09-29,,,
Auricularia spp. larvae,2015-11-01,Decapod larvae,External training David Conway,
Lingula spp. larvae,2008-09-29,Brachiopoda,,Not routinely identified
Cumacea,2008-09-29,,,
Doliolidae,2008-09-29,,,
Calocalanus plumulosus j,2008-09-29,,,
Metacalanus aurivillii m,2008-09-29,,,
Oithona plumifera j,2011-07-08,Oithona Grp3 (pointy head) f,,
Kelleria spp. m,2008-09-29,,,
Caridea zoea,2008-09-29,,,
Labidocera laevidentata f,2008-09-29,,,
Rotalia spp.,2013-03-22,No previous id,,Tintinnids and Forams not counted in zooplankton NRS before March 2013
Oncaea venusta complex j,2008-09-29,,,
Pilidium larvae,2008-09-29,Nematoda,,Not routinely identified
Terebellidae,2008-09-29,,,
Scolecithricella spp. j,2008-09-29,,,
Pontellina spp.,2008-09-29,,,
Subeucalanus spp.,2008-09-29,,,
Thysanoessa spp.,2008-09-29,,,Speciated routinely in SO samples
Brachiolaria larvae,2015-11-01,Decapod larvae,External training David Conway,
Scolecithrix danae j,2008-09-29,,,
Acartia pacifica j,2008-09-29,,,
Spinoncaea spp. m,2008-09-29,,,
Tortanus spp.,2008-09-29,,,
