TRIP_CODE,STARTPORT,ENDPORT,REGION,STARTLATITUDE,STARTLONGITUDE,STARTSAMPLEDATEUTC,ENDLATITUDE,ENDLONGITUDE,ENDSAMPLEDATEUTC,MILES,VESSEL_NAME,ACKNOWLEDGEMENTS
BRSY20100529,Brisbane,Sydney,Northern East Australian Currect,-33.05311,152.28595,2010-05-29 06:42:12,-26.72882,153.76984,2010-05-30 12:47:25,375,ANL Windarra,ANL
BRSY20100810,Brisbane,Sydney,Northern East Australian Currect,-33.23032,152.12639,2010-08-10 04:50:44,-26.79619,153.76164,2010-08-11 04:42:50,415,ANL Windarra,ANL
BRSY20101017,Brisbane,Sydney,Northern East Australian Currect,-33.39612,151.97942,2010-10-16 22:41:23,-26.77165,153.76159,2010-10-18 06:57:00,430,ANL Windarra,ANL
BRSY20110305,Brisbane,Sydney,Northern East Australian Currect,-33.86454,151.57339,2011-03-05 05:47:28,-26.77292,153.76904,2011-03-06 16:58:04,465,ANL Windarra,ANL
BRSY20110514,Brisbane,Sydney,Northern East Australian Currect,-29.88802,153.33171,2011-05-14 07:40:00,-26.77465,153.76932,2011-05-14 20:40:14,200,ANL Windarra,ANL
BRSY20111211,Brisbane,Sydney,Northern East Australian Currect,-31.77119,153.10802,2011-12-11 08:01:34,-28.00148,153.76805,2011-12-12 01:45:56,235,ANL Windarra,ANL
BRSY20120414,Brisbane,Sydney,Northern East Australian Currect,-32.66878,152.64217,2012-04-14 04:52:52,-26.47128,153.76595,2012-04-15 08:47:49,390,ANL Windarra,ANL
BRSY20120902,Brisbane,Sydney,Northern East Australian Currect,-32.49556,152.78535,2012-09-02 02:32:38,-26.89407,153.76432,2012-09-02 22:23:56,350,ANL Windarra,ANL
BRSY20140420,Brisbane,Sydney,Northern East Australian Currect,-34.5203,151.20831,2014-04-20 22:41:57,-28.51844,153.75,2014-04-22 05:45:33,395,Island Chief,Swires
BRSY20140523,Brisbane,Sydney,Northern East Australian Currect,-33.73469,151.53156,2014-05-23 22:12:24,-27.02678,153.74998,2014-05-25 09:43:32,435,Island Chief,Swires
BRSY20140630,Brisbane,Sydney,Northern East Australian Currect,-34.22788,151.32399,2014-06-30 13:21:44,-27.06845,153.75,2014-07-02 01:21:25,465,Island Chief,Swires
BRSY20140803,Brisbane,Sydney,Northern East Australian Currect,-34.46228,151.22825,2014-08-03 04:12:52,-27.06345,153.74643,2014-08-04 20:57:29,480,Island Chief,Swires
BRSY20150401,Brisbane,Sydney,Northern East Australian Currect,-34.24022,151.32443,2015-04-01 22:01:28,-27.88344,153.74833,2015-04-03 05:21:25,415,Island Chief,Swires
BRSY20150719,Brisbane,Sydney,Northern East Australian Currect,-34.48109,151.56713,2015-07-19 22:12:30,-28.80171,153.89569,2015-07-21 04:36:06,370,Island Chief,Swires
BRSY20150824,Brisbane,Sydney,Northern East Australian Currect,-30.63529,153.31528,2015-08-24 22:12:09,-29.40437,153.58447,2015-08-25 04:16:17,80,Island Chief,Swires
BRSY20160728,Brisbane,Sydney,Northern East Australian Currect,-32.33985,152.88928,2016-07-28 23:07:56,-29.38953,153.69342,2016-07-29 08:54:49,190,Tonsberg,Wallenius Wilhelmsen
BRSY20180514,Brisbane,Sydney,Northern East Australian Currect,-33.85055,151.69755,2018-05-14 04:41:42,-26.79354,153.87456,2018-05-15 22:42:35,465,RV Investigator,CSIRO; MNF - IN2018_T02
BUNE20100813,Burnie,Nelson,Tasmania,-40.70122,148.97278,2010-08-13 15:11:37,-40.45009,173.24134,2010-08-17 05:14:58,1140,Rehua,CSIRO; Sealord Group Ltd.
BUNE20120810,Burnie,Nelson,Tasmania,-41.06969,148.86938,2012-08-10 14:58:29,-40.48122,172.26076,2012-08-14 10:24:54,1030,Rehua,Sealord Group Ltd.
CAGL20180608,Cairns,Gladstone,Great Barrier Reef,-21.14714,148.85171,2018-06-08 23:11:05,-19.94578,150.06377,2018-06-09 06:34:23,105,RTM Wakmatha,Rio Tinto Marine
CAGL20180907,Cairns,Gladstone,Great Barrier Reef,-21.25969,145.90955,2018-09-07 00:53:29,-16.78899,150.16761,2018-09-08 05:34:07,380,RTM Wakmatha,Rio Tinto Marine
CAGL20190109,Cairns,Gladstone,Great Barrier Reef,-22.28846,146.28538,2019-01-09 22:17:13,-17.80021,150.90736,2019-01-11 05:36:42,390,RTM Wakmatha,Rio Tinto Marine
CAGL20190415,Cairns,Gladstone,Great Barrier Reef,-21.89848,146.28534,2019-04-15 22:27:31,-17.79855,150.74254,2019-04-17 04:30:19,365,RTM Wakmatha,Rio Tinto Marine
CAGL20190803,Cairns,Gladstone,Great Barrier Reef,-23.17617,145.86433,2019-08-03 07:18:29,-16.76728,151.28139,2019-08-05 05:08:52,515,RTM Wakmatha,Rio Tinto Marine
CAGL20191112,Cairns,Gladstone,Great Barrier Reef,-21.03855,145.88023,2019-11-12 00:58:52,-16.76672,149.97736,2019-11-13 05:25:52,365,RTM Wakmatha,Rio Tinto Marine
CAGL20200215,Cairns,Gladstone,Great Barrier Reef,-21.22244,145.89742,2020-02-16 00:05:40,-16.79494,150.13804,2020-02-17 05:37:49,355,RTM Wakmatha,Rio Tinto Marine
CAGL20200519,Cairns,Gladstone,Great Barrier Reef,-21.77701,146.2618,2020-05-19 22:48:46,-17.6779,150.63843,2020-05-21 05:25:49,365,RTM Wakmatha,Rio Tinto Marine
CAGL20200817,Cairns,Gladstone,Great Barrier Reef,-22.76811,145.91777,2020-08-17 08:42:31,-16.80579,151.10451,2020-08-19 00:45:29,485,RTM Wakmatha,Rio Tinto Marine
CAGL20201201,Cairns,Gladstone,Great Barrier Reef,-21.45654,146.12662,2020-12-01 22:42:43,-17.24198,150.35546,2020-12-03 05:13:20,365,RTM Wakmatha,Rio Tinto Marine
CAGL20210618,Cairns,Gladstone,Great Barrier Reef,-22.76978,146.95863,2021-06-18 22:53:31,-18.74355,151.10138,2021-06-20 05:59:21,350,RTM Wakmatha,Rio Tinto Marine
CTCY20150208,Cooktown,Cape York,Great Barrier Reef,-13.92915,142.96824,2015-02-08 22:43:43,-11.3555,144.29605,2015-02-09 15:10:25,185,Kweichow,Swires
DABO20120804,Darwin,Broome,North West Australia,-16.1702,121.93883,2012-08-05 06:43:48,-12.55403,128.17766,2012-08-07 07:29:01,440,RV Solander,AIMS
EDMI20180517,Eden,Maria Island,Southern East Australian Currect,-42.45994,148.27008,2018-05-17 17:17:12,-37.47948,152.1082,2018-05-19 13:57:46,405,RV Investigator,CSIRO; MNF - IN2018_T02
EXDA20120426,Exmouth,Darwin,Western Australia,-15.64839,122.53666,2012-04-28 09:33:27,-12.77632,128.42695,2012-04-30 07:29:12,400,RV Solander,AIMS
EXSC20111119,Exmouth,Scott  Reef,Western Australia,-20.04828,116.69558,2011-11-19 00:17:50,-15.14904,121.04861,2011-11-20 11:47:38,390,RV Solander,AIMS
FIHO20120615,Fiji,Hobart,Tasmania,-42.76712,148.51038,2012-06-15 12:24:53,-37.41349,153.50426,2012-06-17 03:38:10,400,Southern Surveyor,CSIRO
FLRR20121028,Flinders Reef,Ribbon Reefs (Gbr),Great Barrier Reef,-17.54792,145.87073,2012-10-28 06:33:16,-15.45886,148.10885,2012-10-29 04:28:19,185,RV Cape Ferguson,AIMS
FRAN20090103,Fremantle,Antarctica,Southern Ocean,-53.9487,109.9727,2009-01-03 04:34:00,-47.6463,110.0843,2009-01-04 13:16:00,379.84,Aurora Australis,SOCPR
FRBO20100407,Fremantle,Broome,Western Australia,-31.7205,112.4669,2010-04-07 13:09:59,-18.7704,119.36199,2010-04-12 08:48:15,910,Southern Surveyor,CSIRO
FRDA20120907,Fremantle,Darwin,Western Australia,-31.32981,112.01657,2012-09-07 07:54:07,-12.42414,127.97665,2012-09-14 19:49:44,1640,Southern Surveyor,CSIRO
